,open,high,low,close,volume
2026-02-12,246.6548694407308,246.7462793396436,246.45140274498442,246.52674843593928,4489047
2026-02-13,246.65287267146346,247.25316775464174,243.71235488892168,244.17992349847196,5054069
2026-02-16,243.905701229117,249.70977379384846,241.9741474974769,247.28645904535304,7500319
2026-02-17,247.56341789717928,248.0317670232714,246.1743087566504,246.69356285174464,6857135
2026-02-18,246.42638576514543,247.3854067491814,242.51232622468962,243.436382245988,7134977
2026-02-19,243.86971446995042,245.25438391082395,241.23254674626168,242.44394016355227,4925332
2026-02-20,242.6570391000863,245.7423468938694,241.44279785792895,244.36791500552195,9646524
2026-02-23,244.20141831303474,245.11150543052827,243.6841947533184,244.63661586373922,5024048
2026-02-24,244.3002569011477,255.46027496123313,226.688469213381,236.72177451134107,6961489
2026-02-25,236.94528492053075,237.06284004083912,236.73897266964775,236.84285379059907,7130044
2026-02-26,236.6160306548443,249.45993934826456,230.82182346202976,242.66991735256104,9366768
2026-02-27,242.91520437282585,250.19050144166397,230.61776549596073,237.94617095005034,5424030
2026-03-02,238.4119645870641,243.09809993447445,237.23676846949016,241.03683015865775,8165267
2026-03-03,240.93555597717528,246.59670733389072,230.902627393198,236.30518353046196,5503137
2026-03-04,236.09593275377011,237.58732579156995,234.90238491449696,236.99505126278098,9502845
2026-03-05,236.98119646443104,241.48035144014085,235.54150421349922,240.2853826211345,5927070
2026-03-06,240.40342641948027,244.23860164532078,238.88707347307803,242.86378765864956,5221736
2026-03-09,242.81901485964926,245.59515073144883,240.37427876683685,244.66006735657746,6951715
2026-03-10,244.25657169734086,253.13539274450142,240.1044217472251,250.95725328923297,7352841
2026-03-11,251.0085978704068,255.32596933089147,250.44349123265064,254.1063698421525,9720405
2026-03-12,254.11205970414184,262.8583524591156,242.5665065805703,248.72124075211443,4914019
2026-03-13,248.67889316824352,259.0095931473212,243.1444846571631,255.45852946134266,5820999
2026-03-16,255.13687239008976,268.25590506471195,249.02730855499428,262.41487676282543,6384689
2026-03-17,262.17243828481566,267.549684085742,260.1753418677903,265.528442138388,5986853
2026-03-18,265.72560525843176,269.3854228852592,264.5457263486309,268.2658254484013,6735534
2026-03-19,268.067242665665,268.95751112650606,267.7075894579995,268.5659672726213,8244758
2026-03-20,268.30771424922773,269.4680534040456,260.9748559487846,263.7484030593507,5448821
2026-03-23,263.6175509441198,266.58595686836986,252.45956671052005,257.656331504007,6456208
2026-03-24,257.6964014788987,260.181296623363,251.52786692418275,255.13990475610387,4990673
2026-03-25,255.10574874029618,256.0267577447817,249.2164121347793,250.38070139002872,5007639
2026-03-26,250.587601689055,250.94156404156172,250.33995281768034,250.76546482769612,7011701
2026-03-27,251.15482741833407,251.53319641099682,249.69818047978492,249.95306310335144,4670930
2026-03-30,250.2662763696958,252.28916281786672,244.86680874381344,247.05890364392909,7194482
2026-03-31,247.00150751719895,247.22558356060352,246.4454653708539,246.63037567070407,6241983
2026-04-01,246.90303127896541,248.08934547824254,246.4387306302493,247.5481655274529,8801024
2026-04-02,247.40610659044157,247.67952726538084,247.32987633187327,247.60348472125983,6960759
2026-04-03,247.10933093915426,249.6500746831602,241.7512807273335,244.75958968820606,3331063
2026-04-06,244.34441296796768,245.85452667474036,241.67158357104063,243.056986332644,3940180
2026-04-07,242.92660702785645,244.0802394316241,242.6433691130696,243.7739861398797,4130180
2026-04-08,244.0039046958271,247.7560705828736,242.28759831678724,245.62033945229527,9418361
2026-04-09,245.46740401709394,246.6885244156364,241.7153509634171,242.8637929784797,4504316
2026-04-10,242.4737526492322,247.10290784011931,239.642741395448,244.73605965090346,8090469
2026-04-13,244.51686691188027,245.09069240416704,241.6691274834253,242.5741058745585,4984841
2026-04-14,242.6121232433392,243.49649840062176,242.23169391898958,243.02825703777782,8287929
2026-04-15,242.7752946648138,243.93634247689548,240.24333145389843,241.46011904082786,3166038
2026-04-16,241.63479848071466,242.6904990967634,239.3805944235096,240.65870653881692,5791686
2026-04-17,240.93252017556577,243.88540494638931,230.27987256347467,233.7370801581375,4150202
